document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,selected_k,doc_topic_prior,topic_word_prior,random_state
34,extended_run_001,prt_0034_00,scn_0034,0.22885734335,0.298447528835,0.00508939053405,0.457449586139,0.00507684962795,0.00507930151342,6,,,11
35,extended_run_001,prt_0035_00,scn_0035,0.469955718737,0.00510965313654,0.00513057591085,0.00507938862311,0.00509846290327,0.509626200689,6,,,11
36,extended_run_001,prt_0036_00,scn_0036,0.402203465697,0.00509597988731,0.00505928530173,0.00507244864738,0.0050764834998,0.577492336967,6,,,11
37,extended_run_001,prt_0037_00,scn_0037,0.483947285216,0.00511076896418,0.0050735450617,0.00508153563968,0.00508901721919,0.495697847899,6,,,11
38,extended_run_001,prt_0038_00,scn_0038,0.772436605402,0.00512036265114,0.207139227709,0.0051188250243,0.0051043112994,0.00508066791373,6,,,11
39,extended_run_001,prt_0039_00,scn_0039,0.606555755511,0.00510458274451,0.0712729782738,0.306887889626,0.00509916717981,0.00507962666526,6,,,11
40,extended_run_001,prt_0040_00,scn_0040,0.73143567602,0.0050795278638,0.00508032996534,0.248238871407,0.00508490164021,0.00508069310349,6,,,11
41,extended_run_001,prt_0041_00,scn_0041,0.667807297068,0.00507164051419,0.00506442851039,0.311899891024,0.00508056597707,0.0050761769063,6,,,11
42,extended_run_001,prt_0042_00,scn_0042,0.480185965805,0.499433445596,0.00510100475785,0.00507696456292,0.00508855530704,0.00511406397124,6,,,11
43,extended_run_001,prt_0043_00,scn_0043,0.459864289216,0.519792248352,0.00508345813893,0.00507347379624,0.0050939080907,0.00509262240629,6,,,11
44,extended_run_001,prt_0044_00,scn_0044,0.269224254077,0.171668571485,0.00511257073871,0.00508867608149,0.543822265872,0.00508366174602,6,,,11
45,extended_run_001,prt_0045_00,scn_0045,0.202898634673,0.00509462836902,0.120874510108,0.00506778698069,0.660976898464,0.00508754140552,6,,,11
46,extended_run_001,prt_0046_00,scn_0046,0.264079620239,0.00510029882345,0.167100823369,0.00508501585244,0.55355737829,0.00507686342583,6,,,11
47,extended_run_001,prt_0047_00,scn_0047,0.166432963624,0.00508484493006,0.00506231600691,0.312590610476,0.505759100232,0.00507016473125,6,,,11
48,extended_run_001,prt_0048_00,scn_0048,0.176337429514,0.00508036185606,0.00509870529443,0.376740651545,0.431660198967,0.00508265282348,6,,,11
49,extended_run_001,prt_0049_00,scn_0049,0.348849730198,0.3667612947,0.00512100551387,0.00508725543783,0.269080866571,0.00509984757901,6,,,11
50,extended_run_001,prt_0050_00,scn_0050,0.342881518242,0.00512233116117,0.0050762183946,0.00508320152608,0.212882023469,0.428954707207,6,,,11
51,extended_run_001,prt_0051_00,scn_0051,0.00511791454157,0.289988523407,0.00510391985879,0.00509523752732,0.689576474622,0.00511793004338,6,,,11
52,extended_run_001,prt_0052_00,scn_0052,0.00509964820628,0.00508717423981,0.143926217222,0.00507784297712,0.353748977921,0.487060139433,6,,,11
53,extended_run_001,prt_0053_00,scn_0053,0.00510236866089,0.0050942860747,0.252702012653,0.00508509248242,0.484354505314,0.247661734815,6,,,11
54,extended_run_001,prt_0054_00,scn_0054,0.00511678226045,0.00508567807549,0.00507152573459,0.41880949513,0.370518104613,0.195398414187,6,,,11
55,extended_run_001,prt_0055_00,scn_0055,0.00512291490587,0.0050857113226,0.00507997195628,0.3026945528,0.281859524493,0.400157324523,6,,,11
56,extended_run_001,prt_0056_00,scn_0056,0.00513660702789,0.00508980953197,0.00507759942876,0.00507597800388,0.229432278002,0.750187728005,6,,,11
